Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","1982","1982","t","241800","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","1983","1983","kg/ha","620","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","1983","1983","t","191200","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","1984","1984","kg/ha","634.5","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","1984","1984","t","266600","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","1985","1985","kg/ha","631.4","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","1985","1985","t","269100","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","1986","1986","kg/ha","673.1","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","1986","1986","t","217200","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","1987","1987","kg/ha","653.3","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","1987","1987","t","274300","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","1988","1988","kg/ha","714.3","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","1988","1988","t","159000","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","1989","1989","kg/ha","804.2","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","1989","1989","t","414400","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","1990","1990","kg/ha","795.4","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","1990","1990","t","316400","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","1991","1991","kg/ha","765.6","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","1991","1991","t","273000","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","1992","1992","kg/ha","800","E","Estimated value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","1992","1992","t","240000","E","Estimated value",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","1993","1993","kg/ha","840","E","Estimated value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","1993","1993","t","210000","E","Estimated value",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","1994","1994","kg/ha","906.9","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","1994","1994","t","187000","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","1995","1995","kg/ha","899.4","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","1995","1995","t","211900","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","1996","1996","kg/ha","924.3","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","1996","1996","t","188100","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","1997","1997","kg/ha","952.4","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","1997","1997","t","169555","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","1998","1998","kg/ha","927","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","1998","1998","t","160620","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","1999","1999","kg/ha","878.5","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","1999","1999","t","141655","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","2000","2000","kg/ha","921.9","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","2000","2000","t","127018","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","2001","2001","kg/ha","853.9","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","2001","2001","t","142600","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","2002","2002","kg/ha","854.3","A","Official figure",""
